Produtos;Vendas(BRL);ROAS;Taxa de conversão;Impressões;Cliques;CTR;Gastos(BRL);CPC(BRL);Pedidos;ACOS
B07YGFHH53;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B07Z5CJTYC;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B07Z5CNHWZ;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B07Z5F72WD;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B07ZRSV5CL;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B0849GZMZ9;0,00;0,00;#DIV/0!;29;0;0,00%;0,00;0,00;0;0,00%
B0849HB6G8;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B0849HHCWH;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B0849HNX9R;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B0849HP97L;0,00;0,00;#DIV/0!;33;0;0,00%;0,00;0,00;0;0,00%
B0849HTPC2;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B0849MR4L3;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B0849Q9DM8;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B0849R8ST5;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B084B3LNNF;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B084DT35VS;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B084DT7CVG;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B084JL7622;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B08641ZFF2;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B086KW5KJM;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B086N33GZ2;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B0882JG84M;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B0888TL7NG;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B088FWKL1X;0,00;0,00;#DIV/0!;1;0;0,00%;0,00;0,00;0;0,00%
B088JL5SPF;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B088JNTLJ6;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B088JNTLJ8;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B088JQDVM4;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B088JSQLM6;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B088JVC1HF;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B088JXGTND;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B088JXGXL9;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B088MVFZSJ;0,00;0,00;#DIV/0!;12;0;0,00%;0,00;0,00;0;0,00%
B088MVFZSS;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B088MWHYP4;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B088MY74RT;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B08CBGQ97G;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B08FXSBL8V;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B08RJN54XQ;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B08RJSYNF7;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B08WPQDZJZ;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B08WQ2J79R;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B091B9C17P;0,00;0,00;#DIV/0!;1;0;0,00%;0,00;0,00;0;0,00%
B091B9LMMH;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B09647J9WR;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B09647XBBW;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B096481VTZ;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B096491455;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B0979C2Q9F;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B0979CVN97;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B0979DYB53;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B0979FDZYF;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B0979G4WR8;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B098FKK5QD;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B0999JX2HP;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B099FDTKYQ;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B099FFXPZS;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B099FG3JKT;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B099FGC94Z;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B099FGG6VM;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B099FGR85P;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B099FJQCGB;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B099GBKHK2;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B09DR21X92;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B09DR4BDJB;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B09DR5FG16;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
